Message_id,Person Who Felt the Emotion,Gender,Cause
WP690_holly,Karen,female,staying with the speaker
WP691_holly,Miami Dolphins,,welcoming back their beloved mascot and star of halftime show
WP692_holly,boy,male,
WP693_holly,Mr. Bromide,male,
WP694_holly,Forrest,male,getting a college degree
WP695_holly,Forrest,male,
WP696_holly,Jenny,female,her son's intelligence
WP697_holly,Gray,male,coming of age
WP698_holly,He,male,building character
WP699_holly,Mrs. Dillon,female,son being ruthless and sadistic
WP700_holly,Troy,male,making $400 a week and solving rent problems
WP701_holly,speaker,gender NA,increasing gross by 20%
WP702_holly,,,
WP703_holly,,,
WP704_holly,,,
WP705_holly,Speaker 1,gender not explicit,Boog coming home
WP706_holly,speaker,gender not explicit,taking pride in playing streetball
WP707_holly,Jennifer,female,being a dietitian
WP708_holly,Nathanial,male,for his courageous and bizarre act that saved lives
WP709_holly,papa,male,being a fancy lad
WP710_holly,son,male,his work
WP711_holly,Dwight,male,
WP712_holly,,,
WP713_holly,presenter,not specified,presenting the Willy Show
WP714_holly,parents,not specified,for giving their best and working hard
WP715_holly,,,
WP716_holly,Jack,male,willingness to do anything for survival
WP717_holly,Davis,male,
WP718_holly,guys,male,
WP719_holly,speaker,gender not explicit,graduation and becoming guardians of America's future
WP720_holly,speaker,gender not explicit,dedication to a fallen American hero
WP721_holly,speaker 1,gender not explicit,
WP722_holly,teacher,gender not explicit,student attaining the rank of Grandmaster
WP723_holly,My man,male,achieving something possibly related to chess possibly related to chess
WP724_holly,Mr Newland,male,
WP725_holly,Alabama,female,
WP726_holly,man,male,not kneeling
WP727_holly,,,
WP728_holly,henchmen,male,pleasing their boss
WP729_holly,us,not specified,frightening millions into an early grave
WP730_holly,California,,casting votes for Governor Clinton
WP731_holly,political professional,male,changing the way campaigns are run
WP732_holly,Carville,male,winning Nevada
WP733_holly,speaker,gender not explicit,winning Nevada
WP734_holly,chief,male,for getting a new detail due to experience and availability
WP735_holly,chief,male,getting a security detail
WP736_holly,Mr. Crawford,male,
WP737_holly,,,
WP738_holly,,,
WP739_holly,,,
WP740_holly,People,Not specified,making medicine with Dances With Wolves
WP741_holly,,,
WP742_holly,servants and flunkies,not specified,serving their master
WP743_holly,us,not specified,
WP744_holly,Franklin Crudstaff's parent,not specified,Franklin's unspecified achievement
WP745_holly,Achilles,male,starting a culture war
WP746_holly,unknown,unknown,
WP747_holly,man,male,defending their neighborhood
WP748_holly,man,male,
WP749_holly,homie,male,
WP750_holly,man,male,
WP751_holly,family,not specified,for overcoming personal struggles
WP752_holly,Mama,female,
WP753_holly,man,male,going to college and studying psychiatry
WP754_holly,man,male,going to college and studying psychiatry
WP755_holly,He,male,not fighting
WP756_holly,,,
WP757_holly,people,not specified,upgrading their community
WP758_holly,,,
WP759_holly,speaker,gender NA,being referenced on popular shows
WP760_holly,character,gender NA,playing a globally recognized character
WP761_holly,Unnamed character,gender unknown,Drac's calmness about someone leaving
WP762_holly,Sue,female,ending a relationship
WP763_holly,mother,female,competing this year
WP764_holly,,,
WP765_holly,wife,female,planning to bear children
WP766_holly,She,female,getting a full ride scholarship
WP767_holly,Zibby,female,getting a full ride
WP768_holly,mom,female,
WP769_holly,<Mr Duchaine,male,remembering and being proud of one's heritage
WP770_holly,Mr Duchaine,male,remembering and being proud of one's heritage
WP771_holly,,,
WP772_holly,,,
WP773_holly,,,
WP774_holly,,,
WP775_holly,speaker,gender not explicit,making their mamas proud
WP776_holly,Deputy Mayor Stevenson and speaker,male,appointment of Captain Ellen Yindel
WP777_holly,Artie,male,looking good in his uniform
WP778_holly,Private Parts,male,his natural naked state
WP779_holly,,,
WP780_holly,speaker,gender NA,being stubborn
WP781_holly,Speaker 1,gender not explicit,
WP782_holly,character,gender not explicit,staying true to their beliefs
WP783_holly,Jack,male,standing up to Pitch and saving others
WP784_holly,Sandy,gender unknown,Jack's bravery and actions
WP785_holly,Unnamed Character,gender NA,creating something that connects the world
WP786_holly,second speaker,gender NA,creating something that disregards privacy and uses personal data for wealth and control
WP787_holly,Speaker 1,gender NA,
WP788_holly,Speaker,gender NA,for her work and sharing her personal life with the public
WP789_holly,Bill Anderson,male,
WP790_holly,,,
WP791_holly,Georgia Anne WhistIer,female,being the president at Pullham University
WP792_holly,,,
WP793_holly,Bluecocks,not specified,keeping the football program alive
WP794_holly,coach or father figure,male,good performance in the season
WP795_holly,uncle,male,family honor
WP796_holly,Uncle,male,building construction and people living in it
WP797_holly,second speaker,gender NA,building completion and people living in it
WP798_holly,mother,female,
WP799_holly,speaker 1,gender not explicit,becoming a big success
WP800_holly,crowd,not specified,Little Miss Broadway's performance
WP801_holly,Layne,male,doing something for his brother
WP802_holly,honey,gender not explicit,launching a product and touring companies
WP803_holly,athletes,not clear,priding themselves on physical prowess
WP804_holly,grandfather,male,studying something other than agriculture
WP805_holly,Danny,male,becoming VP of Land Management
WP806_holly,,,
WP807_holly,guy,male,teaching the value of responsibility
WP808_holly,,,
WP809_holly,character,gender not explicit,being baptised and looking forward to first communion
WP810_holly,Steve Chasman,male,making a film that does justice to the source material
WP811_holly,Her,female,not running away despite danger
WP812_holly,She,female,not running away
WP813_holly,son,male,showing courage to walk in the door
WP814_holly,Mighty,male,son's courage
WP815_holly,mother,female,
WP816_holly,speaker 1,gender not explicit,speaking good Spanish
WP817_holly,Mom,female,
WP818_holly,speaker 1,gender NA,playing beautifully
WP819_holly,No,,
WP820_holly,speaker 1,gender not explicit,
WP821_holly,IRA men,male,committing atrocities
WP822_holly,Chris,male,
WP823_holly,Annabel,female,
WP824_holly,speaker,gender NA,
WP825_holly,speaker,gender NA,being right
WP826_holly,,,
WP827_holly,He,male,owning sneakers with the University of Virginia on them
WP828_holly,my son's parent,not specified,
WP829_holly,animals,not applicable,owning an impressive structure
WP830_holly,,,
WP831_holly,,,
WP832_holly,Toad's friends,not specified,Toad's reformation and abandonment of gypsy carts and motorcars
WP833_holly,Ichabod,male,his dancing talent
WP834_holly,Speaker,gender NA,for their performance
WP835_holly,you,gender not explicit,being a real musician
WP836_holly,They,gender not explicit,owning a ship
WP837_holly,Randall,male,being openly gay
WP838_holly,Weirzbowski,male,recovery of a fellow cop
WP839_holly,speaker 1,gender NA,for their hair
WP840_holly,Constable,male,
WP841_holly,Dad,male,son doing the right thing
WP842_holly,darling,gender not explicit,
WP843_holly,Daddy,male,
WP844_holly,He,male,his achievements and resilience as an immigrant
WP845_holly,Tesla,male,standing up for himself
WP846_holly,man,male,becoming a real American citizen
WP847_holly,Tesla,male,abolishing war
WP848_holly,Kamiah,female,being strong and beautiful
WP849_holly,Odin,male,for making the kingdom revered and firm
WP850_holly,Dad,male,his good handwriting
WP851_holly,old man,male,receiving an award
WP852_holly,old man,male,first edition publication
WP853_holly,Madame,female,
WP854_holly,Franklin,male,solving a riddle
WP855_holly,Ma,female,becoming a wonderful mother
WP856_holly,Ma,female,
WP857_holly,Unnamed character,unknown,for being smart and overcoming adversity
WP858_holly,Mrs. Larchmont,female,sponsoring the exhibition and being a mother
WP859_holly,mother,female,her son's handsomeness
WP860_holly,Unidentified speaker,unknown,
WP861_holly,Dr. Erskine,male,
WP862_holly,speaker 1,gender NA,embracing leaving humanity behind
WP863_holly,speaker,gender not explicit,for asking for help
WP864_holly,papa,male,for what the other person is doing
WP865_holly,papa,male,for what the other person is doing
WP866_holly,mother,female,son taking a job
WP867_holly,Kovaks,male,
WP868_holly,,,
WP869_holly,Ben,male,
WP870_holly,,,
WP871_holly,us all,not specified,not specified
WP872_holly,,,
WP873_holly,HydraTech press-secretary,unknown,flawless record in environmental protection and hazards ways disposal
WP874_holly,sponsor,gender NA,Mike's recovery from sex addiction
WP875_holly,Mike,male,
WP876_holly,sponsor,gender NA,birthday boy's sobriety
WP877_holly,babe,gender not explicit,
WP878_holly,Pop,male,
WP879_holly,,,
WP880_holly,speaker,gender not explicit,joining the military
WP881_holly,Speaker 1,gender not explicit,beating someone
WP882_holly,speaker,gender NA,for what they did
WP883_holly,speaker,gender not explicit,going to college
WP884_holly,,,
WP885_holly,,,
WP886_holly,SeaWorld trainer,gender NA,being a SeaWorld trainer
WP887_holly,Apple,,donating computers to underfunded schools
WP888_holly,boss,male,
WP889_holly,She,female,
WP890_holly,Mr. President,male,taking it to the bad guys
WP891_holly,speaker,gender not explicit,having something to be proud of in the album
WP892_holly,speaker,gender not explicit,Helen Reddy's achievements
WP893_holly,daughters/sisters,female,restitution
WP894_holly,singers,not specified,making their mothers proud
WP895_holly,father,male,son's survival skills
WP896_holly,Speaker 1,gender not explicit,her going to Parsons School of Design
WP897_holly,Dad,male,
WP898_holly,Dad,male,graduation
WP899_holly,Baby,gender not explicit,
WP900_holly,speaker,gender not explicit,taking care of his place
WP901_holly,character,not specified,initiation weekend participation
WP902_holly,father,male,for doing the right thing
WP903_holly,Frank,male,contributing to Project Peregrine
WP904_holly,speaker,gender not explicit,being good at job
WP905_holly,speaker,gender not explicit,conversion to a new religion
WP906_holly,speaker,gender NA,standing up for atheism and encouraging others to do the same
WP907_holly,Edwin Epps,male,being a 'nigger breaker'
WP908_holly,character 1,gender NA,owning property
WP909_holly,unknown,unknown,making the morning paper
WP910_holly,speaker 2,gender not explicit,being accepted at school
WP911_holly,grandpa,male,his granddaughter's participation in a contest
WP912_holly,Mother,female,
WP913_holly,father,male,
WP914_holly,speaker,gender not explicit,being 100 percent American
WP915_holly,Trini,gender NA,starting something
WP916_holly,us,not specified,Sky's dancing
WP917_holly,Dude,male,
WP918_holly,Mikey,male,
WP919_holly,buddy,male,
WP920_holly,,,
WP921_holly,Nash,male,not being caught up in the church
WP922_holly,,,
WP923_holly,father,male,his photography skills
WP924_holly,hotel representative,unknown,excellence in service
WP925_holly,speaker,gender NA,
WP926_holly,speaker,gender NA,being good children
WP927_holly,mother,female,being worthy of heritage
WP928_holly,father,male,having a practice field named in his honor
WP929_holly,Mr. Weaver,male,
WP930_holly,Sue,female,
WP931_holly,,,
WP932_holly,,,
WP933_holly,John Smith,male,jogging off weight
WP934_holly,mother,female,John's basketball skills
WP935_holly,woman,female,letting go of someone
WP936_holly,Zach,male,
WP937_holly,himself,male,outsmarting the Coast Guard
WP938_holly,girl,female,
WP939_holly,,,
WP940_holly,,,
WP941_holly,,,
WP942_holly,Mama,female,
WP943_holly,Georgie,male,
WP944_holly,speaker,gender not explicit,being wanted by the CIA
WP945_holly,Frank,male,
WP946_holly,speaker,gender not explicit,marrying a man
WP947_holly,Speaker,gender not explicit,getting married
WP948_holly,speaker,gender not explicit,getting married
WP949_holly,speaker 1,gender not explicit,marrying speaker 2
WP950_holly,Spitfire,female,asserting her rights as a Captain
WP951_holly,girl,female,standing up for herself
WP952_holly,,,
WP953_holly,,,
WP954_holly,,,
WP955_holly,speaker,gender NA,working hard and achieving a spectacular result
WP956_holly,mom,female,
WP957_holly,Jeffrey's father,male,Jeffrey becoming a man his father would be proud of
WP958_holly,Jeffrey,male,becoming a man his father would be proud of
WP959_holly,Speaker,gender not explicit,
WP960_holly,Jeffrey,male,
WP961_holly,Dad,male,quitting smoking
WP962_holly,babe,male,making a film about himself
WP963_holly,Dusty's friends,not specified,Dusty's bravery or effort
WP964_holly,Mayday,male,
WP965_holly,Mayday,male,
WP966_holly,Propwash Junction Corn Fest,,presenting the Piston Peak Air Attack team and their own world champion racer
WP967_holly,Nick Dunne,male,
WP968_holly,Nick,male,
WP969_holly,,,
WP970_holly,me,not specified,presenting Simba to all of the creatures from the Pride Lands
WP971_holly,,,
WP972_holly,,,
WP973_holly,,,
WP974_holly,Jonas,male,
WP975_holly,,,
WP976_holly,baby,gender not explicit,enjoying themselves
WP977_holly,I,female,
WP978_holly,Dad,male,
WP979_holly,,,
WP980_holly,girl,female,
WP981_holly,Wynter,male,serving with the sir in his division
WP982_holly,unknown,unknown,
WP983_holly,,,
WP984_holly,older ones,male,their past achievements
WP985_holly,older ones,male,their past achievements
WP986_holly,speaker 2,gender not explicit,successful African landings
WP987_holly,,,
WP988_holly,Suzie,female,
WP989_holly,,,
WP990_holly,speaker,,for teaching loyalty family pride and love
WP991_holly,Alex,male,being a better father
WP992_holly,,,
WP993_holly,,,
WP994_holly,Jesus,male,
WP995_holly,,,
WP996_holly,Fin,male,
WP997_holly,Fin,male,saving a boy's life
WP998_holly,father,male,proposing for marriage
WP999_holly,Peter,male,Natalia's actions and decisions
WP1000_holly,Mason's parent,gender NA,Mason's accomplishment
WP1001_holly,sir,male,possessing an attractive woman
WP1002_holly,Minsky Company,not specified,presenting a show
WP1003_holly,Minsky Company,Not Specified,presenting a show
WP1004_holly,Whore,female,
WP1005_holly,Chad,male,marrying the speaker
WP1006_holly,,,
WP1007_holly,,,
WP1008_holly,,,
WP1009_holly,,,
WP1010_holly,you,male,fighting for his country
WP1011_holly,Mom,female,
WP1012_holly,He,male,
WP1013_holly,speaker 1,gender not explicit,doing something complicated
WP1014_holly,Pop,male,hitting a perfect bull's-eye
WP1015_holly,speaker 1,gender not explicit,learning tricks of trade quickly
WP1016_holly,Miss Dillmount,female,punctuality
WP1017_holly,Muzzy,male,
WP1018_holly,,,
WP1019_holly,speaker,female,children finding sweet partners
WP1020_holly,speaker 1,gender not explicit,creating a successful product
WP1021_holly,papa,male,daughter's recovery or improvement in health
WP1022_holly,Robert,male,fighting to gain the richest prize a man was ever offered
WP1023_holly,,,
WP1024_holly,Speaker,gender not explicit,Thomas Stenborg's friendship and teachings
WP1025_holly,Mommy and Daddy,female and male,child's performance
WP1026_holly,Doug Barry Kirkpatrick and myself,male,taking risk for their compadre Miguel
WP1027_holly,Brother Superior,male,setting a splendid example
WP1028_holly,Mr. Sarto,male,making Florence happy
WP1029_holly,speaker 2,gender not explicit,punching some brains in that guy's head
WP1030_holly,Melbridge County Asylum,,its new military wing
WP1031_holly,Smithy,male,becoming an author
WP1032_holly,Charles,male,nearly being the one for someone
WP1033_holly,ladies,female,organizing a successful charity event
WP1034_holly,speaker 2,gender not explicit,for playing baseball in college
WP1035_holly,buddy,male,
WP1036_holly,pal,male,standing up for himself
WP1037_holly,,,
WP1038_holly,,,
WP1039_holly,,,
WP1040_holly,Mr. Wilson,male,
WP1041_holly,Charlie,male,performing a new trick
WP1042_holly,Annie's folks,unknown,Annie's success
WP1043_holly,speaker 2,gender NA,speaker 1's future achievements
WP1044_holly,Miss Annie Oakley,female,daring and bravery
WP1045_holly,Miss Oakley,female,winning every shooting medal
WP1046_holly,unknown,unknown,closing a deal
WP1047_holly,Speaker,gender not explicit,successful journey
WP1048_holly,speaker,gender NA,successful conclusion of a journey
WP1049_holly,Harry,male,acknowledging other races' right to vote
WP1050_holly,He,male,
WP1051_holly,Speaker 1,gender not explicit,for coming up with a fabulous idea
WP1052_holly,Unnamed Character,Not Specified,change in countenance
WP1053_holly,unidentified speaker,unknown,
WP1054_holly,Unnamed,unknown,
WP1055_holly,dad,male,standing against ROXXON and preventing a total meltdown
WP1056_holly,mother,female,for being the kind of son she can be proud of
WP1057_holly,,,
WP1058_holly,He,male,his sneakers with the University of Virginia on them
WP1059_holly,,,
WP1060_holly,speaker 2,gender NA,for not becoming logical
WP1061_holly,Prince & Co,,presenting the enchanted peasant girl
WP1062_holly,David,male,
WP1063_holly,David,male,
WP1064_holly,VELDE,male,being a real American
WP1065_holly,speaker,gender NA,building a successful business
WP1066_holly,speaker,gender NA,building a successful business
WP1067_holly,speaker,gender not explicit,building a successful business
WP1068_holly,Speaker,gender NA,introducing a legendary figure in the industry
WP1069_holly,,,
WP1070_holly,Gino's wife,female,Gino's work as a cop
WP1071_holly,Lilli,female,wearing her mother's gown
WP1072_holly,Unnamed Character,Unknown,becoming a successful case officer
WP1073_holly,,,
WP1074_holly,,,
WP1075_holly,speaker,gender NA,for someone's accomplishment
WP1076_holly,speaker,gender not explicit,for having courage and guts
WP1077_holly,speaker,gender not explicit,being straight
WP1078_holly,speaker,gender not explicit,being heterosexual
WP1079_holly,,,
WP1080_holly,speaker,gender not explicit,expressing straight pride
WP1081_holly,Speaker,gender not explicit,being straight
WP1082_holly,Counselor,gender NA,radical reconditioning
WP1083_holly,Goofy,male,getting all A's
WP1084_holly,Mrs. Claire Ruth,female,presenting an award on behalf of The Babe
WP1085_holly,The Babe,male,presenting an award to Roger Maris
WP1086_holly,Joe D,male,
WP1087_holly,,,
WP1088_holly,,,
WP1089_holly,teammates,not specified,being a good teammate
WP1090_holly,speaker,gender not explicit,touching a record in baseball
WP1091_holly,Matt,male,joining the gay and lesbian group on campus and getting ready for Pride Week
WP1092_holly,Matt,male,joining the gay and lesbian group on campus and getting ready for Pride Week
WP1093_holly,Speaker,gender not explicit,having the mentioned son
WP1094_holly,Judy,female,having her son
WP1095_holly,Pumbaa,male,
WP1096_holly,,,
WP1097_holly,,,
WP1098_holly,,,
WP1099_holly,,,
WP1100_holly,,,
WP1101_holly,Sam,male,for his boys
WP1102_holly,we,not clear,buying a studio for Anton
WP1103_holly,Agnes,female,
WP1104_holly,Frank,male,Dave's good performance
WP1105_holly,Dave,male,
WP1106_holly,Vern,male,
WP1107_holly,unknown,unknown,being the fastest man on the planet
WP1108_holly,unidentified character,unknown,
WP1109_holly,Sweetheart,female,
WP1110_holly,mom,female,son's career
WP1111_holly,speaker 1,gender not explicit,owning a nightclub
WP1112_holly,speaker,gender NA,building a house and land with bare hands
WP1113_holly,man,male,not accepting another man's leavings
WP1114_holly,He,male,not accepting another man's leavings
WP1115_holly,Yes,male,
WP1116_holly,Short Stack,male,
WP1117_holly,,,
WP1118_holly,,,
WP1119_holly,,,
WP1120_holly,father,male,his son's future success
WP1121_holly,Trenton's Pride,male,being the baddest pony on the prairie
WP1122_holly,Pride,male,showing dominance
WP1123_holly,,,
WP1124_holly,,,
WP1125_holly,Tucker,male,winning the big race
WP1126_holly,Miss Dalrymple,female,
WP1127_holly,,,
WP1128_holly,Nolan,male,
WP1129_holly,,,
WP1130_holly,,,
WP1131_holly,,,
WP1132_holly,,,
WP1133_holly,,,
WP1134_holly,my boy,male,Trenton's Pride is running the perfect race
WP1135_holly,,,
WP1136_holly,,,
WP1137_holly,Trenton's Pride,,performing well in the race
WP1138_holly,,,
WP1139_holly,,,
WP1140_holly,,,
WP1141_holly,,,
WP1142_holly,,,
WP1143_holly,boy,male,winning the Kentucky Open
WP1144_holly,best boy,male,winning the Kentucky Open
WP1145_holly,Dad,male,son's achievement
WP1146_holly,Sandy,female,
WP1147_holly,,,
WP1148_holly,Mom,female,her new desk
WP1149_holly,Mr. Jones,male,Jeremy's achievements
WP1150_holly,Ahtur,male,being compared to a lion
WP1151_holly,Moorehigh,gender NA,carrying on someone's work
WP1152_holly,Shane,male,
WP1153_holly,Wolfe,male,
WP1154_holly,Father,male,
WP1155_holly,,,
WP1156_holly,Red Grange,male,running an end run
WP1157_holly,friend,male,showing courage in fighting cancer
WP1158_holly,Con,male,looking after the family
WP1159_holly,,,
WP1160_holly,Mrs. Dallas,female,being a mother any girl would be proud of
WP1161_holly,girl,female,having an unselfish mother
WP1162_holly,Sweetheart,female,
WP1163_holly,sweetheart,female,
WP1164_holly,speaker,gender NA,Germany's underground production
WP1165_holly,speaker,gender NA,discovery of a new Germany and its latest airplane
WP1166_holly,Conrad,male,sons becoming German soldiers
WP1167_holly,son,male,making SWAT
WP1168_holly,father,male,son becoming a doctor
WP1169_holly,Peter,male,
WP1170_holly,,,
WP1171_holly,Pancho,male,
WP1172_holly,Pancho,male,
WP1173_holly,Pancho,male,
WP1174_holly,Pancho,male,
WP1175_holly,speaker,gender NA,being in control and sure of oneself
WP1176_holly,speaker,gender not explicit,self-assuredness and control
WP1177_holly,Aaron's pa,male,having a son
WP1178_holly,Aaron's pa,male,having a son
WP1179_holly,father,male,son's graduation from the academy
WP1180_holly,Ike,male,successful planning of a military operation
WP1181_holly,Earl Jensen,male,launching of his greatest achievement - the Adship
WP1182_holly,father,male,son's recognition by NBA
WP1183_holly,father,male,son's recognition by NBA
WP1184_holly,Chinese people,not specified,Yao Ming playing in American league
WP1185_holly,speaker,gender not explicit,involvement in Yao Ming's development and his performance in NBA
WP1186_holly,,,
WP1187_holly,we all,not specified,being part of Jeff Skilling's inner circle
WP1188_holly,Cliff,male,
WP1189_holly,coach,gender not explicit,victory in a game
WP1190_holly,father,male,taking care of family
WP1191_holly,speaker,gender NA,birth of grandson
WP1192_holly,Dad,male,son's great performance
WP1193_holly,Tom,male,maintaining cleanliness and personal appearance
WP1194_holly,father,male,son stepping up
WP1195_holly,Rachel,female,gifting pearls
WP1196_holly,Ellen,female,
WP1197_holly,,,
WP1198_holly,Lydia,female,displaying historical events on her back
WP1199_holly,,,
WP1200_holly,Dad,male,standing for right
WP1201_holly,man,male,for having courage
WP1202_holly,sir,male,
WP1203_holly,unknown,unknown,
WP1204_holly,father,male,
WP1205_holly,singer,not specified,bride's wedding day
WP1206_holly,friends,not specified,for being a bride
WP1207_holly,Ted Ray,male,being the best
WP1208_holly,untested boy,male,showcasing his God-given talent
WP1209_holly,,,
WP1210_holly,mother and father,not specified,their child's singing
WP1211_holly,Amir,male,expressing frustration and anger
WP1212_holly,Charley,male,being a good thief
WP1213_holly,town,not applicable,its historical past
WP1214_holly,folks,not specified,their child's educational achievement
WP1215_holly,,,
WP1216_holly,other person,unknown,
WP1217_holly,Tori,female,being discreet in her firm
WP1218_holly,O'Malley,male,being an alley cat
WP1219_holly,Frou-Frou,,making the headlines
WP1220_holly,,,
WP1221_holly,husband,male,
WP1222_holly,,,
WP1223_holly,brother,male,being related to a good man
WP1224_holly,brother,male,being the brother of a good man
WP1225_holly,Miss Liggett,female,her 17-year-old working and going to school
WP1226_holly,Rick,male,getting Liggett to work with them
WP1227_holly,Roy,male,
WP1228_holly,Old man,male,passing on bowling knowledge
WP1229_holly,old man,male,passing on bowling knowledge
WP1230_holly,Brother Roy and Sister Claudia,male and female,quoting scriptures to give strength
WP1231_holly,,,
WP1232_holly,general,male,father's bravery
WP1233_holly,speaker 1,gender not explicit,growing tomatoes
WP1234_holly,Harry Rex,male,
WP1235_holly,Speaker,male,inviting others to join in a war to protect their homes and families
WP1236_holly,,,
WP1237_holly,,,
WP1238_holly,Stump Sisson,male,"being a ""Grand Dragon"" for the Invisible Empire of the Ku Klux Klan"
WP1239_holly,attorney,not explicit,for being an attorney
WP1240_holly,Blue Flame,,
WP1241_holly,Mike,male,being a hero
WP1242_holly,Mike,male,
WP1243_holly,Mike,male,
WP1244_holly,Mullen,male,
WP1245_holly,Jimmy Shaker,male,meeting Fatima
WP1246_holly,Jimmy Shaker,male,
WP1247_holly,Mr Mullen,male,doing his job
WP1248_holly,car salesman,male,personal appearance
WP1249_holly,world's greatest library of film classics,not specified,presenting classic films
WP1250_holly,speaker 2,gender NA,low percentage of rotten apples in their personnel
WP1251_holly,her,female,for her writing
WP1252_holly,silent movie queen,female,
WP1253_holly,Great Star,female,
WP1254_holly,female speaker,female,creating a breathtaking effect
WP1255_holly,female speaker,female,creating a breathtaking effect to monopolize worthwhile men
WP1256_holly,Grandpa,male,
WP1257_holly,Esther,female,
WP1258_holly,John,male,
WP1259_holly,speaker,gender not explicit,organizing a wonderful party
WP1260_holly,Devlin,male,discovering uranium ore
WP1261_holly,,,
WP1262_holly,,,
WP1263_holly,,,
WP1264_holly,member,gender NA,winning first prize at the fair
WP1265_holly,boy rangers,male,Senator Jefferson Smith's commitment to his office
WP1266_holly,Joe,male,
WP1267_holly,His Lordship,male,Lady Lorradaile's invitation
WP1268_holly,,,
WP1269_holly,Big Daddy,male,having a dynasty of his flesh and blood
WP1270_holly,speaker,gender not explicit,having a dynasty of flesh and blood
WP1271_holly,Unidentified speaker,unknown,working on a ranch and maintaining a disciplined schedule
WP1272_holly,Son,male,being a man
WP1273_holly,Son,male,being a man
WP1274_holly,Queen,female,becoming a queen and promising to be good
WP1275_holly,Donald,male,surviving a difficult situation
WP1276_holly,ice woman,female,sending someone to boarding school
WP1277_holly,father,male,son's resilience
WP1278_holly,We,not specified,justice being done
WP1279_holly,,,
WP1280_holly,Dad,male,son's political shift
WP1281_holly,parents,not specified,child's baptism and confirmation
WP1282_holly,we,not clear,for the attention of the entire world focusing on Duselheim
WP1283_holly,Augustus Gloop,male,finding the first Golden Ticket
WP1284_holly,Mr. Beauregarde,male,daughter finding Wonka's Golden Ticket
WP1285_holly,Chris,male,becoming a genuine person
WP1286_holly,Lawrence,male,
WP1287_holly,Webber Motor Car Company,,unveiling their latest and greatest achievement
WP1288_holly,,,
WP1289_holly,speaker 1,gender not explicit,for admitting lust in his heart
WP1290_holly,Private Ferol's mother,female,
WP1291_holly,Corporal,male,good night's work
WP1292_holly,Doc,male,catching his first Chinooker
WP1293_holly,Billy boy,male,joining the group
WP1294_holly,Billy boy,male,joining the group
WP1295_holly,Mr. Chairman,male,having Italian-Americans as his best friends
WP1296_holly,father,male,for his roses
WP1297_holly,mother,female,her son being her pride and joy
WP1298_holly,mother,female,her son's existence and presumably his actions/character
WP1299_holly,Henry,male,killing for pride
WP1300_holly,Captain,male,being made captain
WP1301_holly,Captain Shaw,male,for being chosen as an officer
WP1302_holly,governor,male,proposing to raise a regiment of Negro soldiers
WP1303_holly,,,
WP1304_holly,He,male,being a chronic masturbator
WP1305_holly,sir,male,being a hero
WP1306_holly,Leona,female,nominating the next vice president
WP1307_holly,Mr. Whiting,male,
WP1308_holly,Ambassador,male,willingness to forget about the matter
WP1309_holly,speaker,gender not explicit,leading wonderful guys into battle
WP1310_holly,Carthaginians,not specified,bravery in defending their city
WP1311_holly,They,,
WP1312_holly,parents,not specified,their son serving in the army
WP1313_holly,speaker,male,men's resilience and determination in battle
WP1314_holly,speaker,gender NA,performing duties well
WP1315_holly,My beloved,gender not explicit,
WP1316_holly,,,
WP1317_holly,Keyes,male,
WP1318_holly,Bronner,male,
WP1319_holly,Mavi,male,
WP1320_holly,Speaker,gender not explicit,standing up for beliefs
WP1321_holly,Major,male,victory for their way of life
WP1322_holly,Sir,male,victory for their way of life
WP1323_holly,Sir,male,graduating at the top of the class
WP1324_holly,We,not specified,being a proud race
WP1325_holly,race,not specified,being proud as a race
WP1326_holly,Institute,,having the largest seawater tank and the only two humpback whales in captivity
WP1327_holly,we,not specified,bandstand
WP1328_holly,police officer,male,
WP1329_holly,Narrator,gender not explicit,accomplishments of Nathan Junior
WP1330_holly,,,
WP1331_holly,Rod,male,
WP1332_holly,,,
WP1333_holly,Marcee,female,being a strong surviving splendid black man
WP1334_holly,speaker 2,gender NA,opening a club
WP1335_holly,Unnamed character,gender not explicit,opening a club
WP1336_holly,speaker 2,gender NA,speaker 1's achievements or existence
WP1337_holly,Joe,male,
WP1338_holly,,,
WP1339_holly,Mama Look-a boo boo day,female,being the only black traffic reporter in the Detroit area
WP1340_holly,husband,male,
WP1341_holly,you,male,summer stock experience
WP1342_holly,She,female,
WP1343_holly,school,not applicable,accomplishments of a former student
WP1344_holly,school,,accomplishments of the person
WP1345_holly,President,male,
WP1346_holly,President,male,for coming up with the idea for the Hula Hoop
WP1347_holly,speaker,gender NA,for coming up with the idea for the Hula Hoop
WP1348_holly,,,
WP1349_holly,,,
WP1350_holly,father,male,
WP1351_holly,Kate,female,
WP1352_holly,Jay,male,
WP1353_holly,Earl,male,
WP1354_holly,Hans Lobenhoffer,male,planting country's flag on the summit of Nanga Parbat
WP1355_holly,German nation,not applicable,conquest of Nanga Parbat
WP1356_holly,Your Holiness,male,being of service
WP1357_holly,,,
WP1358_holly,,,
WP1359_holly,They,not specified,for being worth 25 million pound
WP1360_holly,speaker 2,gender NA,creating personal and honest music
WP1361_holly,lawyers,not specified,being the subject of jokes
WP1362_holly,Speaker 2,gender not explicit,passing the bar exam
WP1363_holly,partner,gender NA,noticing a lie
WP1364_holly,Mr. Wayland,male,being a liar
WP1365_holly,Sir,male,doing the job properly
